bath,balcony,price,total_sqft_int,bhk,price_per_sqft
3.0,2.0,90.0,1200.0,2.0,7500.0
3.0,2.0,90.0,1045.0,2.0,8612.440191387559
3.0,3.0,110.0,1265.0,2.0,8695.652173913044
3.0,3.0,223.0,1050.0,3.0,21238.095238095237
2.0,1.0,97.0,1050.0,2.0,9238.095238095239
1.0,1.0,55.0,1232.0,2.0,4464.285714285715
3.0,1.0,190.0,2100.0,2.0,9047.619047619048
2.0,2.0,78.0,2000.0,4.0,3900.0
2.0,2.0,38.0,1425.0,3.0,2666.6666666666665
2.0,1.0,50.75,1550.0,3.0,3274.1935483870966
2.0,1.0,40.25,1350.0,2.0,2981.4814814814813
1.0,1.0,26.0,925.0,2.0,2810.810810810811
2.0,2.0,47.25,1625.0,2.0,2907.6923076923076
2.0,1.0,35.0,1194.0,2.0,2931.323283082077
4.0,3.0,240.0,1515.0,3.0,15841.584158415842
3.0,3.0,170.0,1255.0,2.0,13545.81673306773
4.0,2.0,233.0,1843.0,5.0,12642.430819316332
2.0,1.0,550.0,1200.0,3.0,45833.333333333336
3.0,1.0,210.0,1539.0,3.0,13645.224171539961
2.0,3.0,95.0,1060.0,2.0,8962.264150943396
3.0,2.0,140.0,1224.0,2.0,11437.908496732027
3.0,3.0,240.0,1200.0,3.0,20000.0
3.0,1.0,270.0,1411.0,3.0,19135.36498936924
3.0,2.0,240.0,1500.0,3.0,16000.0
2.0,0.0,190.0,1639.0,3.0,11592.434411226357
2.0,2.0,150.0,1225.0,3.0,12244.897959183674
4.0,2.0,440.0,1255.0,3.0,35059.7609561753
3.0,3.0,220.0,1116.0,2.0,19713.26164874552
3.0,2.0,185.0,1224.0,3.0,15114.37908496732
2.0,2.0,56.0,1891.0,3.0,2961.3960867265996
2.0,2.0,70.0,1245.0,3.0,5622.489959839358
2.0,2.0,48.0,1340.0,2.0,3582.089552238806
1.0,1.0,300.0,2774.0,3.0,10814.708002883923
2.0,1.0,75.0,1480.0,3.0,5067.5675675675675
2.0,2.0,60.0,1166.0,2.0,5145.797598627787
2.0,2.0,39.0,1750.0,2.0,2228.5714285714284
2.0,1.0,62.8,1100.0,2.0,5709.090909090909
2.0,2.0,63.0,2225.0,2.0,2831.4606741573034
2.0,2.0,100.0,1200.0,3.0,8333.333333333334
2.0,2.0,60.0,1260.0,2.0,4761.9047619047615
2.0,1.0,88.0,1370.0,1.0,6423.3576642335765
2.0,3.0,100.0,1306.0,2.0,7656.967840735069
1.0,1.0,30.0,1200.0,2.0,2500.0
2.0,2.0,65.0,960.0,2.0,6770.833333333333
2.0,1.0,62.8,1350.0,2.0,4651.851851851852
2.0,3.0,88.0,1620.0,2.0,5432.098765432099
2.0,1.0,75.0,1200.0,2.0,6250.0
1.0,1.0,23.5,907.0,2.0,2590.9592061742005
2.0,2.0,51.0,1151.0,2.0,4430.929626411816
2.0,1.0,66.0,1200.0,3.0,5500.0
2.0,1.0,68.0,2520.0,2.0,2698.4126984126983
2.0,1.0,53.0,1390.0,2.0,3812.94964028777
2.0,2.0,54.0,1884.0,2.0,2866.2420382165606
2.0,1.0,42.0,1200.0,2.0,3500.0
2.0,2.0,73.0,1277.0,2.0,5716.523101018011
2.0,2.0,60.0,1047.0,2.0,5730.659025787965
3.0,2.0,85.0,1360.0,3.0,6250.0
2.0,2.0,74.0,1020.0,2.0,7254.901960784314
2.0,0.0,100.0,1020.0,2.0,9803.921568627451
2.0,1.0,63.0,1831.0,1.0,3440.742763517204
2.0,2.0,120.0,1040.0,2.0,11538.461538461539
2.0,2.0,60.0,1282.0,2.0,4680.1872074882995
3.0,3.0,48.9,1225.0,2.0,3991.8367346938776
1.0,1.0,105.0,1300.0,2.0,8076.923076923077
2.0,2.0,135.0,1305.0,3.0,10344.827586206897
2.0,3.0,75.0,1480.0,2.0,5067.5675675675675
3.0,2.0,400.0,1618.0,2.0,24721.878862793572
3.0,1.0,528.0,1599.0,3.0,33020.63789868668
3.0,2.0,171.0,708.0,2.0,24152.542372881355
3.0,0.0,408.0,1372.0,3.0,29737.609329446062
2.0,2.0,72.0,805.0,2.0,8944.099378881987
2.0,1.0,100.0,1075.0,3.0,9302.32558139535
3.0,1.0,150.0,1260.0,3.0,11904.761904761905
2.0,1.0,94.0,1113.27,2.0,8443.59409667017
2.0,1.0,95.0,1715.0,1.0,5539.35860058309
3.0,1.0,160.0,1550.0,2.0,10322.58064516129
2.0,1.0,100.0,1339.0,2.0,7468.259895444361
3.0,1.0,170.0,3000.0,6.0,5666.666666666667
2.0,2.0,96.0,880.0,2.0,10909.09090909091
2.0,1.0,56.17,1645.0,1.0,3414.5896656534956
2.0,2.0,72.0,1070.0,3.0,6728.971962616823
3.0,2.0,120.0,1884.0,3.0,6369.426751592357
2.0,2.0,90.0,1305.0,3.0,6896.551724137931
2.0,2.0,73.0,1025.0,2.0,7121.951219512195
2.0,1.0,87.0,1200.0,1.0,7250.0
3.0,2.0,117.0,1550.0,2.0,7548.387096774193
3.0,1.0,150.0,1455.0,2.0,10309.278350515464
3.0,2.0,125.0,1100.0,2.0,11363.636363636364
2.0,2.0,135.0,1300.0,3.0,10384.615384615385
3.0,2.0,155.0,1550.0,3.0,10000.0
2.0,1.0,70.65,1000.0,2.0,7065.000000000001
2.0,1.0,97.0,1326.0,3.0,7315.233785822021
3.0,3.0,120.0,1600.0,4.0,7500.0
2.0,1.0,75.0,1113.0,2.0,6738.544474393531
2.0,1.0,95.0,1350.0,3.0,7037.037037037037
3.0,2.0,130.0,1719.3,2.0,7561.216774268598
2.0,0.0,68.0,1056.0,3.0,6439.393939393939
3.0,2.0,125.0,1610.0,4.0,7763.975155279503
2.0,1.0,86.0,753.0,1.0,11420.982735723772
3.0,2.0,122.0,1342.0,3.0,9090.90909090909
3.0,3.0,130.0,1061.0,3.0,12252.591894439209
2.0,1.0,77.44,1215.0,3.0,6373.6625514403295
3.0,2.0,150.0,1900.0,2.0,7894.736842105263
2.0,2.0,88.0,1248.52,2.0,7048.345240765066
2.0,1.0,42.0,1360.0,1.0,3088.235294117647
2.0,3.0,92.0,1325.0,2.0,6943.396226415094
2.0,1.0,44.0,1120.0,1.0,3928.5714285714284
2.0,0.0,54.005,1260.0,3.0,4286.111111111111
1.0,0.0,29.9,1451.0,2.0,2060.6478290833907
4.0,2.0,90.0,1584.0,4.0,5681.818181818182
2.0,1.0,42.47,1065.0,2.0,3987.7934272300467
2.0,2.0,43.5,3300.0,2.0,1318.1818181818182
3.0,2.0,73.31,3515.0,2.0,2085.633001422475
2.0,2.0,55.0,1100.0,2.0,5000.0
2.0,1.0,43.91,2250.0,2.0,1951.5555555555557
2.0,2.0,38.0,2062.0,2.0,1842.8709990300679
2.0,2.0,35.0,1734.0,2.0,2018.4544405997692
1.0,1.0,31.0,2080.0,2.0,1490.3846153846155
3.0,2.0,130.0,1530.0,3.0,8496.73202614379
4.0,3.0,92.0,1910.0,3.0,4816.753926701571
2.0,1.0,40.9,1717.0,2.0,2382.0617355853233
3.0,0.0,72.02,1760.0,2.0,4092.0454545454545
4.0,1.0,140.0,2122.0,3.0,6597.549481621112
1.0,1.0,30.0,1040.0,2.0,2884.6153846153848
2.0,2.0,36.94,1636.0,2.0,2257.9462102689486
3.0,2.0,110.0,2260.0,2.0,4867.256637168141
2.0,2.0,65.0,1835.0,2.0,3542.2343324250683
2.0,2.0,83.0,1100.0,2.0,7545.454545454545
2.0,1.0,54.71,1150.0,3.0,4757.391304347826
2.0,1.0,43.55,1052.0,2.0,4139.733840304182
2.0,3.0,62.0,1299.0,2.0,4772.902232486528
2.0,0.0,44.0,1160.0,2.0,3793.103448275862
1.0,1.0,33.0,2200.0,2.0,1500.0
2.0,1.0,95.0,1839.0,3.0,5165.851005981512
2.0,1.0,59.0,1068.0,2.0,5524.34456928839
2.0,2.0,51.83,1684.0,2.0,3077.790973871734
3.0,2.0,45.0,1040.0,2.0,4326.923076923077
2.0,3.0,50.75,900.0,2.0,5638.888888888889
3.0,2.0,80.0,1790.0,4.0,4469.27374301676
5.0,2.0,99.0,1639.0,4.0,6040.268456375839
1.0,0.0,233.0,1170.0,3.0,19914.529914529914
2.0,2.0,100.0,1076.0,3.0,9293.68029739777
1.0,0.0,150.0,900.0,2.0,16666.666666666668
2.0,1.0,50.0,950.0,2.0,5263.1578947368425
2.0,2.0,37.0,1200.0,2.0,3083.3333333333335
2.0,1.0,45.0,1200.0,2.0,3750.0
2.0,1.0,56.0,1215.0,2.0,4609.0534979423865
2.0,1.0,42.0,1100.0,2.0,3818.181818181818
2.0,1.0,43.0,1342.0,2.0,3204.1728763040237
2.0,0.0,37.0,1100.0,2.0,3363.6363636363635
2.0,2.0,39.0,1139.0,2.0,3424.056189640035
2.0,0.0,27.0,1260.0,2.0,2142.8571428571427
1.0,0.0,20.0,1150.0,2.0,1739.1304347826087
2.0,2.0,71.0,2423.0,1.0,2930.2517540239373
2.0,1.5843757375501535,93.0,1105.0,2.0,8416.28959276018
2.0,1.0,60.0,1245.0,3.0,4819.277108433735
2.0,1.0,80.0,2000.0,3.0,4000.0
2.0,0.0,80.0,1450.0,2.0,5517.241379310345
2.0,1.0,32.0,2000.0,2.0,1600.0
2.0,2.0,88.0,1770.0,2.0,4971.751412429378
3.0,2.0,79.0,1903.0,3.0,4151.339989490279
3.0,2.0,85.0,1125.0,3.0,7555.555555555556
3.0,2.0,90.0,1715.0,2.0,5247.813411078717
2.0,2.0,39.89,2600.0,2.0,1534.2307692307693
2.0,2.0,42.85,2700.0,1.0,1587.037037037037
2.0,2.0,35.0,890.0,2.0,3932.5842696629215
2.0,2.0,69.0,1330.0,3.0,5187.9699248120305
2.0,1.0,35.0,1499.0,2.0,2334.889926617745
2.0,0.0,85.0,1205.0,3.0,7053.941908713693
2.0,3.0,45.0,1664.0,4.0,2704.326923076923
2.0,2.0,65.0,1740.0,3.0,3735.632183908046
2.0,2.0,64.0,1200.0,1.0,5333.333333333333
2.0,1.0,60.0,1050.0,1.0,5714.285714285715
2.0,2.0,68.0,1245.0,3.0,5461.847389558233
2.0,1.0,55.0,1410.0,3.0,3900.709219858156
2.0,2.0,75.0,1614.0,2.0,4646.840148698885
2.0,1.0,48.38,1216.0,2.0,3978.6184210526317
2.0,1.0,46.0,1500.0,2.0,3066.6666666666665
2.0,2.0,80.0,1693.0,2.0,4725.339633786179
2.0,3.0,50.0,1512.0,2.0,3306.878306878307
2.0,1.0,38.45,1152.0,3.0,3337.6736111111113
2.0,2.0,41.0,1250.0,3.0,3280.0
2.0,2.0,38.5,1200.0,2.0,3208.3333333333335
2.0,1.0,40.39,2264.0,2.0,1784.0106007067138
2.0,1.0,35.0,918.0,1.0,3812.636165577342
2.0,1.0,32.54,1357.0,3.0,2397.936624907885
2.0,1.0,39.59,1418.0,2.0,2791.960507757405
2.0,1.0,45.0,1470.0,2.0,3061.2244897959185
2.0,1.0,35.0,1400.0,1.0,2500.0
2.0,1.0,40.39,1600.0,3.0,2524.375
2.0,1.0,46.33,3400.0,2.0,1362.6470588235295
2.0,1.0,38.92,1650.0,3.0,2358.787878787879
2.0,1.0,41.0,1535.0,4.0,2671.0097719869705
2.0,1.0,40.8,1720.0,2.0,2372.0930232558135
1.0,1.0,41.0,3600.0,3.0,1138.888888888889
3.0,1.0,200.0,2650.0,4.0,7547.169811320755
2.0,3.0,57.0,950.0,2.0,6000.0
2.0,1.0,54.0,1200.0,2.0,4500.0
2.0,2.0,75.0,1400.0,2.0,5357.142857142857
2.0,2.0,85.0,2000.0,2.0,4250.0
2.0,2.0,65.0,1100.0,2.0,5909.090909090909
3.0,1.0,134.0,1754.0,2.0,7639.680729760547
2.0,2.0,80.0,1100.0,1.0,7272.727272727273
3.0,2.0,85.5,1075.0,2.0,7953.488372093023
2.0,1.0,60.0,900.0,2.0,6666.666666666667
3.0,1.5843757375501535,95.0,1865.0,4.0,5093.833780160858
2.0,2.0,75.0,1650.0,2.0,4545.454545454545
2.0,1.0,60.0,1678.0,2.0,3575.6853396901074
2.0,1.0,50.0,1100.0,2.0,4545.454545454545
3.0,3.0,98.0,1200.0,3.0,8166.666666666667
2.0,2.0,60.0,1230.0,2.0,4878.048780487805
2.0,2.0,68.8,1150.0,3.0,5982.608695652174
3.0,2.0,85.0,1305.0,2.0,6513.409961685824
2.0,2.0,75.0,1186.0,3.0,6323.777403035413
3.0,3.0,84.0,1795.0,2.0,4679.66573816156
3.0,2.0,85.0,1128.0,2.0,7535.4609929078015
2.0,2.0,66.0,1314.0,2.0,5022.83105022831
2.0,0.0,68.0,1385.0,1.0,4909.747292418772
2.0,2.0,73.0,1075.0,2.0,6790.697674418605
4.0,2.0,95.0,1615.0,3.0,5882.35294117647
2.0,1.0,49.0,1500.0,2.0,3266.6666666666665
2.0,1.0,55.0,1560.0,1.0,3525.641025641026
2.0,1.0,49.0,1705.0,2.0,2873.900293255132
2.0,2.0,52.0,1200.0,2.0,4333.333333333333
2.0,1.0,76.0,1520.0,3.0,5000.0
3.0,2.0,67.23,905.0,2.0,7428.729281767955
3.0,2.0,70.39,1075.0,3.0,6547.906976744186
1.0,1.0,40.0,1115.0,2.0,3587.4439461883408
2.0,2.0,44.0,1200.0,2.0,3666.6666666666665
2.0,2.0,75.0,1243.0,3.0,6033.789219629927
2.0,2.0,48.27,1500.0,3.0,3218.0
2.0,1.0,75.0,1190.0,3.0,6302.5210084033615
2.0,1.0,58.0,2456.0,4.0,2361.5635179153096
2.0,1.0,43.0,1929.0,3.0,2229.1342664593053
2.0,1.5843757375501535,43.79,1870.0,2.0,2341.711229946524
2.0,2.0,38.0,1710.0,3.0,2222.222222222222
2.0,1.0,10.0,1125.0,2.0,888.8888888888889
1.0,1.0,15.0,1328.0,3.0,1129.5180722891566
2.0,1.0,55.0,1000.0,2.0,5500.0
2.0,1.0,75.0,1120.0,2.0,6696.428571428572
2.0,2.0,80.0,1109.0,2.0,7213.706041478809
3.0,1.0,120.0,1571.0,2.0,7638.446849140675
2.0,2.0,66.25,1197.0,2.0,5534.670008354219
3.0,3.0,102.0,1332.0,3.0,7657.657657657658
4.0,1.5843757375501535,142.0,1485.0,4.0,9562.289562289563
2.0,2.0,80.0,1223.0,2.0,6541.291905151267
2.0,2.0,112.0,1050.0,2.0,10666.666666666666
3.0,3.0,100.0,1187.0,2.0,8424.599831508003
2.0,2.0,112.0,1837.0,2.0,6096.897114861186
3.0,2.0,165.0,1380.0,2.0,11956.521739130434
2.0,1.0,140.0,1152.0,2.0,12152.777777777777
1.0,1.0,142.0,1225.0,1.0,11591.836734693878
3.0,2.0,130.0,1500.0,2.0,8666.666666666666
2.0,2.0,90.0,2400.0,2.0,3750.0
3.0,2.0,120.0,2400.0,2.0,5000.0
4.0,2.0,126.0,1455.0,4.0,8659.79381443299
3.0,2.0,119.0,1118.0,2.0,10644.007155635063
3.0,1.0,120.0,1200.0,3.0,10000.0
4.0,2.0,120.0,1251.0,3.0,9592.32613908873
2.0,2.0,86.0,1917.0,2.0,4486.176317162232
2.0,2.0,95.0,1100.0,2.0,8636.363636363636
4.0,2.0,122.0,1720.0,4.0,7093.023255813953
3.0,2.0,125.0,2000.0,2.0,6250.0
2.0,1.0,80.0,2400.0,2.0,3333.3333333333335
2.0,1.0,40.0,1270.0,2.0,3149.6062992125985
3.0,2.0,65.0,1200.0,2.0,5416.666666666667
3.0,2.0,77.0,1095.0,3.0,7031.963470319634
2.0,1.0,85.0,1000.0,2.0,8500.0
2.0,2.0,55.0,1010.0,2.0,5445.544554455446
2.0,2.0,79.0,1139.0,2.0,6935.908691834943
2.0,1.0,65.0,1150.0,3.0,5652.173913043478
2.0,1.0,90.0,1300.0,1.0,6923.076923076923
2.0,1.0,42.0,1216.0,2.0,3453.9473684210525
1.0,1.0,55.0,1464.0,2.0,3756.8306010928964
2.0,1.0,67.5,1175.0,3.0,5744.68085106383
2.0,2.0,55.0,1280.0,2.0,4296.875
2.0,3.0,55.0,1625.0,2.0,3384.6153846153848
2.0,2.0,75.0,1340.0,3.0,5597.014925373134
2.0,1.0,55.0,1060.0,2.0,5188.679245283019
2.0,1.0,50.0,1065.0,3.0,4694.835680751174
2.0,1.0,67.0,1950.0,2.0,3435.897435897436
2.0,1.0,58.0,1100.0,2.0,5272.727272727273
2.0,1.0,42.75,950.0,2.0,4500.0
3.0,0.0,45.0,1000.0,2.0,4500.0
2.0,1.0,57.0,1800.0,2.0,3166.6666666666665
2.0,0.0,58.0,1160.0,3.0,5000.0
2.0,1.0,74.0,1165.0,2.0,6351.931330472103
2.0,1.0,50.0,1333.0,1.0,3750.9377344336085
2.0,1.0,50.0,1075.0,2.0,4651.162790697675
3.0,2.0,58.7,1150.0,3.0,5104.347826086957
4.0,1.5843757375501535,160.0,1900.0,3.0,8421.052631578947
3.0,2.0,77.0,1062.0,3.0,7250.470809792843
2.0,2.0,31.5,950.0,2.0,3315.7894736842104
2.0,1.0,65.0,1665.0,2.0,3903.903903903904
2.0,2.0,22.5,1157.0,2.0,1944.6845289541918
2.0,1.0,26.0,2483.0,2.0,1047.1204188481674
2.0,2.0,36.0,1043.0,2.0,3451.581975071908
2.0,1.0,35.0,3000.0,2.0,1166.6666666666667
2.0,3.0,37.0,1260.0,2.0,2936.5079365079364
2.0,1.0,25.26,1100.0,2.0,2296.3636363636365
3.0,2.0,54.0,1640.0,2.0,3292.682926829268
2.0,1.0,36.0,1046.0,2.0,3441.682600382409
3.0,1.0,37.75,1300.0,3.0,2903.846153846154
3.0,1.0,42.0,1215.0,3.0,3456.7901234567903
2.0,2.0,25.0,1733.5,2.0,1442.169022209403
2.0,1.0,25.99,1981.0,2.0,1311.9636547198384
2.0,2.0,38.0,1250.0,3.0,3040.0
2.0,1.0,22.0,1279.0,2.0,1720.0938232994527
2.0,1.0,40.0,1508.0,2.0,2652.5198938992044
2.0,1.0,36.1,1575.0,3.0,2292.063492063492
2.0,1.0,36.0,1268.0,2.0,2839.116719242902
2.0,1.0,45.0,1310.0,2.0,3435.114503816794
1.0,1.0,36.0,1279.0,2.0,2814.6989835809227
1.0,1.0,36.0,1091.0,3.0,3299.725022914757
1.0,1.0,15.0,1100.0,2.0,1363.6363636363637
1.0,1.0,36.0,1650.0,2.0,2181.818181818182
1.0,1.0,36.0,1569.0,3.0,2294.455066921606
4.0,0.0,95.0,2140.0,3.0,4439.252336448598
2.0,1.0,36.1,1060.0,3.0,3405.6603773584907
2.0,1.0,36.1,1140.0,3.0,3166.6666666666665
1.0,1.0,21.0,1300.0,2.0,1615.3846153846155
1.0,1.0,12.5,1052.0,2.0,1188.212927756654
1.0,1.0,28.0,1000.0,2.0,2800.0
2.0,1.0,185.0,1364.0,3.0,13563.049853372435
4.0,2.0,86.0,1200.0,3.0,7166.666666666667
2.0,2.0,39.0,1100.0,2.0,3545.4545454545455
2.0,2.0,37.0,1130.0,2.0,3274.336283185841
2.0,0.0,55.0,1950.0,2.0,2820.5128205128203
2.0,1.0,40.0,1350.0,3.0,2962.962962962963
2.0,2.0,45.0,1341.0,2.0,3355.7046979865772
2.0,1.0,37.72,1660.4,4.0,2271.74174897615
4.0,2.0,55.0,1160.0,3.0,4741.379310344828
3.0,1.0,87.54,1495.0,3.0,5855.51839464883
2.0,1.0,30.13,1268.0,3.0,2376.1829652996844
2.0,1.0,55.0,1500.0,2.0,3666.6666666666665
2.0,1.0,50.0,1800.0,2.0,2777.777777777778
3.0,2.0,75.0,1085.0,3.0,6912.442396313364
2.0,2.0,65.0,1015.0,2.0,6403.940886699507
3.0,1.0,100.0,1035.0,2.0,9661.835748792271
2.0,1.0,43.25,630.0,1.0,6865.079365079365
3.0,2.0,100.0,1752.12,3.0,5707.371641211789
4.0,2.0,160.0,2400.0,3.0,6666.666666666667
3.0,3.0,100.0,1756.0,3.0,5694.760820045558
3.0,2.0,92.0,1060.0,3.0,8679.245283018869
3.0,1.5843757375501535,150.0,1143.0,2.0,13123.359580052493
4.0,1.5843757375501535,140.0,2774.0,3.0,5046.863734679164
2.0,2.0,70.0,800.0,2.0,8750.0
3.0,3.0,82.0,1400.0,2.0,5857.142857142857
3.0,1.5843757375501535,140.0,1125.0,3.0,12444.444444444445
3.0,3.0,82.0,1155.0,3.0,7099.5670995671
3.0,2.0,95.0,1200.0,3.0,7916.666666666667
3.0,2.0,89.0,996.0,2.0,8935.74297188755
3.0,1.0,250.0,2400.0,3.0,10416.666666666666
3.0,1.0,86.03,1365.0,2.0,6302.5641025641025
2.0,2.0,45.0,1372.0,3.0,3279.883381924198
3.0,2.0,140.0,2440.0,2.0,5737.704918032787
2.0,1.0,40.0,1141.0,1.0,3505.6967572304998
1.0,1.0,28.0,1329.0,2.0,2106.8472535741157
3.0,2.0,108.0,1390.0,2.0,7769.784172661871
2.0,2.0,55.0,1559.0,2.0,3527.902501603592
2.0,2.0,125.0,3250.0,2.0,3846.153846153846
2.0,3.0,50.0,2259.0,3.0,2213.368747233289
3.0,2.0,150.0,1560.0,3.0,9615.384615384615
2.0,2.0,60.0,1255.0,3.0,4780.876494023904
1.0,0.0,170.0,2187.5,4.0,7771.428571428572
4.0,1.0,150.0,1215.0,3.0,12345.67901234568
2.0,1.0,58.0,1656.0,2.0,3502.415458937198
2.0,2.0,53.0,1200.0,3.0,4416.666666666667
3.0,1.0,100.0,3532.0,2.0,2831.2570781426953
2.0,2.0,57.0,1680.0,3.0,3392.8571428571427
2.0,2.0,63.0,1079.0,2.0,5838.739573679332
2.0,1.5843757375501535,90.0,1566.0,3.0,5747.126436781609
3.0,1.5843757375501535,95.0,1804.0,2.0,5266.0753880266075
2.0,3.0,65.0,1129.0,2.0,5757.3073516386185
3.0,2.0,95.0,1405.0,4.0,6761.5658362989325
2.0,2.0,42.0,1845.0,2.0,2276.4227642276423
2.0,2.0,55.0,1693.0,3.0,3248.6709982279976
2.0,0.0,60.0,1135.0,2.0,5286.343612334802
1.0,1.0,62.0,1200.0,3.0,5166.666666666667
2.0,2.0,55.0,1053.0,2.0,5223.171889838556
1.0,1.0,12.0,1530.0,2.0,784.3137254901961
1.0,1.0,14.0,1201.0,2.0,1165.6952539550375
1.0,1.0,17.0,2200.0,2.0,772.7272727272727
1.0,1.0,10.25,1135.0,2.0,903.0837004405287
2.0,1.0,40.98,3960.0,2.0,1034.8484848484848
1.0,1.0,12.0,1004.0,2.0,1195.219123505976
3.0,1.0,85.0,1151.0,2.0,7384.88271068636
2.0,2.0,42.0,1359.0,2.0,3090.5077262693158
1.0,1.0,25.0,1235.0,2.0,2024.2914979757086
1.0,1.0,12.5,900.0,2.0,1388.888888888889
1.0,1.0,24.88,1200.0,2.0,2073.3333333333335
2.0,1.0,29.35,1693.0,4.0,1733.6089781453043
1.0,0.0,19.55,2070.0,2.0,944.4444444444445
1.0,1.0,11.5,3750.0,2.0,306.6666666666667
2.0,1.0,11.5,883.0,2.0,1302.37825594564
2.0,1.0,42.0,1541.0,2.0,2725.5029201817
1.0,1.0,11.5,1174.0,2.0,979.557069846678
3.0,1.0,90.0,1896.0,2.0,4746.835443037975
3.0,1.5843757375501535,105.0,5000.0,2.0,2100.0
3.0,1.0,65.0,1275.0,3.0,5098.0392156862745
1.0,0.0,14.0,946.0,2.0,1479.9154334038055
2.0,1.0,60.0,2246.0,3.0,2671.4158504007123
2.0,1.0,60.0,1615.0,3.0,3715.170278637771
3.0,3.0,120.0,1125.0,3.0,10666.666666666666
3.0,1.0,72.0,1559.0,4.0,4618.345093008339
2.0,1.0,79.0,4850.0,3.0,1628.8659793814434
2.0,1.0,45.0,2270.0,3.0,1982.3788546255507
2.0,1.0,98.5,1580.0,3.0,6234.177215189873
2.0,1.0,58.27,1200.0,3.0,4855.833333333333
2.0,2.0,70.0,1500.0,3.0,4666.666666666667
2.0,2.0,60.0,1520.0,2.0,3947.3684210526317
2.0,1.0,49.0,1200.0,2.0,4083.3333333333335
3.0,2.0,77.27,1200.0,3.0,6439.166666666667
2.0,2.0,50.0,1050.0,2.0,4761.9047619047615
2.0,3.0,40.0,1275.0,1.0,3137.2549019607845
2.0,3.0,72.0,1760.0,5.0,4090.909090909091
2.0,0.0,110.0,1440.0,3.0,7638.888888888889
2.0,0.0,203.0,3216.0,2.0,6312.189054726368
3.0,2.0,85.0,1617.0,4.0,5256.648113790971
2.0,3.0,45.0,850.0,2.0,5294.117647058823
3.0,1.0,150.0,1125.0,2.0,13333.333333333334
2.0,1.0,65.0,1850.0,5.0,3513.5135135135133
2.0,2.0,67.0,1299.0,2.0,5157.813702848345
3.0,2.0,85.0,2615.0,2.0,3250.4780114722753
2.0,1.0,65.0,1190.0,2.0,5462.18487394958
4.0,1.0,160.0,1600.0,3.0,10000.0
2.0,2.0,45.0,1075.0,2.0,4186.046511627907
3.0,2.0,200.0,1355.0,3.0,14760.147601476016
2.0,2.0,80.0,1200.0,3.0,6666.666666666667
2.0,1.0,450.0,7500.0,4.0,6000.0
2.0,2.0,70.0,2400.0,2.0,2916.6666666666665
3.0,1.0,50.0,3000.0,6.0,1666.6666666666667
2.0,2.0,80.0,1450.0,3.0,5517.241379310345
2.0,2.0,55.0,1170.0,2.0,4700.854700854701
3.0,3.0,220.0,1258.0,3.0,17488.076311605724
2.0,2.0,56.0,1200.0,2.0,4666.666666666667
2.0,1.0,75.0,1590.0,2.0,4716.981132075472
3.0,2.0,400.0,2900.0,4.0,13793.103448275862
3.0,3.0,172.0,1200.0,3.0,14333.333333333334
2.0,2.0,70.0,1356.0,2.0,5162.241887905605
2.0,2.0,47.0,1317.0,2.0,3568.716780561883
2.0,0.0,90.0,1128.0,2.0,7978.723404255319
