area_type,availability,location,bath,balcony,price,total_sqft_int,bhk,price_per_sqft
Super built-up  Area,Ready To Move,1st Block HRBR Layout,2.0,1.0,67.0,1200.0,2.0,5583.333333333333
Plot  Area,Ready To Move,1st Block HRBR Layout,3.0,2.0,125.0,3075.0,2.0,4065.040650406504
Plot  Area,Ready To Move,1st Block HRBR Layout,4.0,2.0,125.0,1200.0,3.0,10416.666666666666
Super built-up  Area,20-May,1st Block Jayanagar,4.0,1.0,428.0,1798.0,3.0,23804.226918798664
Super built-up  Area,Ready To Move,1st Block Jayanagar,3.0,2.0,60.0,800.0,2.0,7500.0
Super built-up  Area,18-Jun,1st Block Jayanagar,2.0,2.0,148.0,1116.0,3.0,13261.648745519713
Super built-up  Area,Ready To Move,1st Block Jayanagar,3.0,1.5843757375501535,115.0,1525.0,3.0,7540.983606557377
Built-up  Area,Ready To Move,1st Block Koramangala,2.0,3.0,110.0,1100.0,2.0,10000.0
Built-up  Area,Ready To Move,1st Block Koramangala,2.0,2.0,65.5,1255.0,3.0,5219.123505976096
Built-up  Area,18-Mar,1st Block Koramangala,3.0,2.0,210.0,1140.0,3.0,18421.052631578947
Super built-up  Area,Ready To Move,1st Block Koramangala,3.0,2.0,53.0,800.0,2.0,6625.0
Super built-up  Area,Ready To Move,1st Block Koramangala,2.0,2.0,45.0,800.0,2.0,5625.0
Super built-up  Area,Ready To Move,1st Phase JP Nagar,3.0,1.5843757375501535,157.0,1200.0,3.0,13083.333333333334
Plot  Area,Ready To Move,1st Phase JP Nagar,2.0,0.0,180.0,1151.0,3.0,15638.575152041703
Super built-up  Area,Ready To Move,1st Phase JP Nagar,3.0,2.0,210.0,1296.0,3.0,16203.703703703704
Super built-up  Area,Ready To Move,1st Phase JP Nagar,2.0,1.5843757375501535,86.0,1200.0,3.0,7166.666666666667
Built-up  Area,Ready To Move,1st Phase JP Nagar,2.0,2.0,85.0,1340.0,2.0,6343.2835820895525
Super built-up  Area,18-May,1st Phase JP Nagar,3.0,3.0,175.0,1450.0,2.0,12068.965517241379
Built-up  Area,Ready To Move,1st Stage Indira Nagar,2.0,1.0,56.0,2050.0,4.0,2731.7073170731705
Built-up  Area,Ready To Move,2nd Block Hrbr Layout,3.0,2.0,90.0,1200.0,2.0,7500.0
Super built-up  Area,Ready To Move,2nd Block Hrbr Layout,3.0,2.0,90.0,1045.0,2.0,8612.440191387559
Super built-up  Area,18-Jul,2nd Block Hrbr Layout,3.0,3.0,110.0,1265.0,2.0,8695.652173913044
Super built-up  Area,Ready To Move,2nd Block Jayanagar,3.0,3.0,223.0,1050.0,3.0,21238.095238095237
Built-up  Area,Ready To Move,2nd Block Jayanagar,2.0,1.0,97.0,1050.0,2.0,9238.095238095239
Super built-up  Area,Ready To Move,2nd Phase JP Nagar,1.0,1.0,55.0,1232.0,2.0,4464.285714285715
Plot  Area,Ready To Move,2nd Phase JP Nagar,3.0,1.0,190.0,2100.0,2.0,9047.619047619048
Built-up  Area,Ready To Move,2nd Phase JP Nagar,2.0,2.0,78.0,2000.0,4.0,3900.0
Super built-up  Area,18-Aug,2nd Phase JP Nagar,2.0,2.0,38.0,1425.0,3.0,2666.6666666666665
Super built-up  Area,Ready To Move,2nd Phase Judicial Layout,2.0,1.0,50.75,1550.0,3.0,3274.1935483870966
Super built-up  Area,Ready To Move,2nd Phase Judicial Layout,2.0,1.0,40.25,1350.0,2.0,2981.4814814814813
Super built-up  Area,22-Dec,2nd Phase Judicial Layout,1.0,1.0,26.0,925.0,2.0,2810.810810810811
Super built-up  Area,Ready To Move,2nd Phase Judicial Layout,2.0,2.0,47.25,1625.0,2.0,2907.6923076923076
Super built-up  Area,22-Dec,2nd Phase Judicial Layout,2.0,1.0,35.0,1194.0,2.0,2931.323283082077
Plot  Area,Ready To Move,2nd Stage Nagarbhavi,4.0,3.0,240.0,1515.0,3.0,15841.584158415842
Built-up  Area,Ready To Move,2nd Stage Nagarbhavi,3.0,3.0,170.0,1255.0,2.0,13545.81673306773
Plot  Area,Ready To Move,2nd Stage Nagarbhavi,4.0,2.0,233.0,1843.0,5.0,12642.430819316332
Built-up  Area,Ready To Move,3rd Block Banashankari,2.0,1.0,550.0,1200.0,3.0,45833.333333333336
Plot  Area,Ready To Move,3rd Block Hrbr Layout,3.0,1.0,210.0,1539.0,3.0,13645.224171539961
Built-up  Area,Ready To Move,3rd Block Hrbr Layout,2.0,3.0,95.0,1060.0,2.0,8962.264150943396
Built-up  Area,Ready To Move,3rd Block Hrbr Layout,3.0,2.0,140.0,1224.0,2.0,11437.908496732027
Built-up  Area,Ready To Move,3rd Block Jayanagar,3.0,3.0,240.0,1200.0,3.0,20000.0
Super built-up  Area,Ready To Move,3rd Phase JP Nagar,3.0,1.0,270.0,1411.0,3.0,19135.36498936924
Super built-up  Area,19-Dec,4th Block Jayanagar,3.0,2.0,240.0,1500.0,3.0,16000.0
Super built-up  Area,Ready To Move,4th Block Jayanagar,2.0,0.0,190.0,1639.0,3.0,11592.434411226357
Super built-up  Area,Ready To Move,4th Block Koramangala,2.0,2.0,150.0,1225.0,3.0,12244.897959183674
Plot  Area,Ready To Move,4th T block Jayanagar,4.0,2.0,440.0,1255.0,3.0,35059.7609561753
Super built-up  Area,Ready To Move,4th T block Jayanagar,3.0,3.0,220.0,1116.0,2.0,19713.26164874552
Super built-up  Area,Ready To Move,4th T block Jayanagar,3.0,2.0,185.0,1224.0,3.0,15114.37908496732
Super built-up  Area,Ready To Move,5th Block Hbr Layout,2.0,2.0,56.0,1891.0,3.0,2961.3960867265996
Super built-up  Area,Ready To Move,5th Block Hbr Layout,2.0,2.0,70.0,1245.0,3.0,5622.489959839358
Super built-up  Area,Ready To Move,5th Block Hbr Layout,2.0,2.0,48.0,1340.0,2.0,3582.089552238806
Built-up  Area,Ready To Move,5th Block Jayanagar,1.0,1.0,300.0,2774.0,3.0,10814.708002883923
Plot  Area,Ready To Move,5th Block Jayanagar,2.0,1.0,75.0,1480.0,3.0,5067.5675675675675
Super built-up  Area,Ready To Move,5th Phase JP Nagar,2.0,2.0,60.0,1166.0,2.0,5145.797598627787
Super built-up  Area,18-Aug,5th Phase JP Nagar,2.0,2.0,39.0,1750.0,2.0,2228.5714285714284
Built-up  Area,Ready To Move,5th Phase JP Nagar,2.0,1.0,62.8,1100.0,2.0,5709.090909090909
Super built-up  Area,Ready To Move,5th Phase JP Nagar,2.0,2.0,63.0,2225.0,2.0,2831.4606741573034
Built-up  Area,Ready To Move,5th Phase JP Nagar,2.0,2.0,100.0,1200.0,3.0,8333.333333333334
Super built-up  Area,Ready To Move,5th Phase JP Nagar,2.0,2.0,60.0,1260.0,2.0,4761.9047619047615
Super built-up  Area,Ready To Move,5th Phase JP Nagar,2.0,1.0,88.0,1370.0,1.0,6423.3576642335765
Built-up  Area,Ready To Move,5th Phase JP Nagar,2.0,3.0,100.0,1306.0,2.0,7656.967840735069
Built-up  Area,Ready To Move,5th Phase JP Nagar,1.0,1.0,30.0,1200.0,2.0,2500.0
Super built-up  Area,Ready To Move,5th Phase JP Nagar,2.0,2.0,65.0,960.0,2.0,6770.833333333333
Built-up  Area,Ready To Move,5th Phase JP Nagar,2.0,1.0,62.8,1350.0,2.0,4651.851851851852
Super built-up  Area,Ready To Move,5th Phase JP Nagar,2.0,3.0,88.0,1620.0,2.0,5432.098765432099
Super built-up  Area,Ready To Move,5th Phase JP Nagar,2.0,1.0,75.0,1200.0,2.0,6250.0
Super built-up  Area,Ready To Move,5th Phase JP Nagar,1.0,1.0,23.5,907.0,2.0,2590.9592061742005
Super built-up  Area,Ready To Move,5th Phase JP Nagar,2.0,2.0,51.0,1151.0,2.0,4430.929626411816
Super built-up  Area,Ready To Move,5th Phase JP Nagar,2.0,1.0,66.0,1200.0,3.0,5500.0
Super built-up  Area,Ready To Move,5th Phase JP Nagar,2.0,1.0,68.0,2520.0,2.0,2698.4126984126983
Super built-up  Area,Ready To Move,5th Phase JP Nagar,2.0,1.0,53.0,1390.0,2.0,3812.94964028777
Super built-up  Area,Ready To Move,5th Phase JP Nagar,2.0,2.0,54.0,1884.0,2.0,2866.2420382165606
Super built-up  Area,Ready To Move,5th Phase JP Nagar,2.0,1.0,42.0,1200.0,2.0,3500.0
Super built-up  Area,Ready To Move,5th Phase JP Nagar,2.0,2.0,73.0,1277.0,2.0,5716.523101018011
Super built-up  Area,Ready To Move,5th Phase JP Nagar,2.0,2.0,60.0,1047.0,2.0,5730.659025787965
Super built-up  Area,Ready To Move,5th Stage BEML Layout,3.0,2.0,85.0,1360.0,3.0,6250.0
Super built-up  Area,Ready To Move,6th Phase JP Nagar,2.0,2.0,74.0,1020.0,2.0,7254.901960784314
Built-up  Area,Ready To Move,6th Phase JP Nagar,2.0,0.0,100.0,1020.0,2.0,9803.921568627451
Super built-up  Area,Ready To Move,6th Phase JP Nagar,2.0,1.0,63.0,1831.0,1.0,3440.742763517204
Super built-up  Area,Ready To Move,6th Phase JP Nagar,2.0,2.0,120.0,1040.0,2.0,11538.461538461539
Built-up  Area,Ready To Move,6th Phase JP Nagar,2.0,2.0,60.0,1282.0,2.0,4680.1872074882995
Super built-up  Area,18-Aug,6th Phase JP Nagar,3.0,3.0,48.9,1225.0,2.0,3991.8367346938776
Built-up  Area,Ready To Move,6th Phase JP Nagar,1.0,1.0,105.0,1300.0,2.0,8076.923076923077
Super built-up  Area,Ready To Move,6th Phase JP Nagar,2.0,2.0,135.0,1305.0,3.0,10344.827586206897
Super built-up  Area,Ready To Move,6th Phase JP Nagar,2.0,3.0,75.0,1480.0,2.0,5067.5675675675675
Built-up  Area,Ready To Move,6th block Koramangala,3.0,2.0,400.0,1618.0,2.0,24721.878862793572
Built-up  Area,Ready To Move,7th Block Jayanagar,3.0,1.0,528.0,1599.0,3.0,33020.63789868668
Super built-up  Area,Ready To Move,7th Block Jayanagar,3.0,2.0,171.0,708.0,2.0,24152.542372881355
Plot  Area,Ready To Move,7th Block Jayanagar,3.0,0.0,408.0,1372.0,3.0,29737.609329446062
Built-up  Area,Ready To Move,7th Phase JP Nagar,2.0,2.0,72.0,805.0,2.0,8944.099378881987
Built-up  Area,Ready To Move,7th Phase JP Nagar,2.0,1.0,100.0,1075.0,3.0,9302.32558139535
Built-up  Area,Ready To Move,7th Phase JP Nagar,3.0,1.0,150.0,1260.0,3.0,11904.761904761905
Built-up  Area,Ready To Move,7th Phase JP Nagar,2.0,1.0,94.0,1113.27,2.0,8443.59409667017
Super built-up  Area,Ready To Move,7th Phase JP Nagar,2.0,1.0,95.0,1715.0,1.0,5539.35860058309
Super built-up  Area,19-Dec,7th Phase JP Nagar,3.0,1.0,160.0,1550.0,2.0,10322.58064516129
Super built-up  Area,Ready To Move,7th Phase JP Nagar,2.0,1.0,100.0,1339.0,2.0,7468.259895444361
Plot  Area,Ready To Move,7th Phase JP Nagar,3.0,1.0,170.0,3000.0,6.0,5666.666666666667
Super built-up  Area,Ready To Move,7th Phase JP Nagar,2.0,2.0,96.0,880.0,2.0,10909.09090909091
Super built-up  Area,Ready To Move,7th Phase JP Nagar,2.0,1.0,56.17,1645.0,1.0,3414.5896656534956
Super built-up  Area,Ready To Move,7th Phase JP Nagar,2.0,2.0,72.0,1070.0,3.0,6728.971962616823
Super built-up  Area,Ready To Move,7th Phase JP Nagar,3.0,2.0,120.0,1884.0,3.0,6369.426751592357
Super built-up  Area,Ready To Move,7th Phase JP Nagar,2.0,2.0,90.0,1305.0,3.0,6896.551724137931
Super built-up  Area,Ready To Move,7th Phase JP Nagar,2.0,2.0,73.0,1025.0,2.0,7121.951219512195
Super built-up  Area,Ready To Move,7th Phase JP Nagar,2.0,1.0,87.0,1200.0,1.0,7250.0
Built-up  Area,Ready To Move,7th Phase JP Nagar,3.0,2.0,117.0,1550.0,2.0,7548.387096774193
Super built-up  Area,Ready To Move,7th Phase JP Nagar,3.0,1.0,150.0,1455.0,2.0,10309.278350515464
Super built-up  Area,Ready To Move,7th Phase JP Nagar,3.0,2.0,125.0,1100.0,2.0,11363.636363636364
Super built-up  Area,Ready To Move,7th Phase JP Nagar,2.0,2.0,135.0,1300.0,3.0,10384.615384615385
Super built-up  Area,Ready To Move,7th Phase JP Nagar,3.0,2.0,155.0,1550.0,3.0,10000.0
Super built-up  Area,Ready To Move,7th Phase JP Nagar,2.0,1.0,70.65,1000.0,2.0,7065.000000000001
Super built-up  Area,Ready To Move,7th Phase JP Nagar,2.0,1.0,97.0,1326.0,3.0,7315.233785822021
Super built-up  Area,Ready To Move,7th Phase JP Nagar,3.0,3.0,120.0,1600.0,4.0,7500.0
Super built-up  Area,Ready To Move,7th Phase JP Nagar,2.0,1.0,75.0,1113.0,2.0,6738.544474393531
Super built-up  Area,Ready To Move,7th Phase JP Nagar,2.0,1.0,95.0,1350.0,3.0,7037.037037037037
Super built-up  Area,Ready To Move,7th Phase JP Nagar,3.0,2.0,130.0,1719.3,2.0,7561.216774268598
Super built-up  Area,Ready To Move,7th Phase JP Nagar,2.0,0.0,68.0,1056.0,3.0,6439.393939393939
Super built-up  Area,Ready To Move,7th Phase JP Nagar,3.0,2.0,125.0,1610.0,4.0,7763.975155279503
Super built-up  Area,Ready To Move,7th Phase JP Nagar,2.0,1.0,86.0,753.0,1.0,11420.982735723772
Super built-up  Area,Ready To Move,7th Phase JP Nagar,3.0,2.0,122.0,1342.0,3.0,9090.90909090909
Super built-up  Area,Ready To Move,7th Phase JP Nagar,3.0,3.0,130.0,1061.0,3.0,12252.591894439209
Built-up  Area,Ready To Move,7th Phase JP Nagar,2.0,1.0,77.44,1215.0,3.0,6373.6625514403295
Super built-up  Area,Ready To Move,7th Phase JP Nagar,3.0,2.0,150.0,1900.0,2.0,7894.736842105263
Built-up  Area,Ready To Move,7th Phase JP Nagar,2.0,2.0,88.0,1248.52,2.0,7048.345240765066
Super built-up  Area,Ready To Move,7th Phase JP Nagar,2.0,1.0,42.0,1360.0,1.0,3088.235294117647
Super built-up  Area,Ready To Move,7th Phase JP Nagar,2.0,3.0,92.0,1325.0,2.0,6943.396226415094
Super built-up  Area,Ready To Move,7th Phase JP Nagar,2.0,1.0,44.0,1120.0,1.0,3928.5714285714284
Super built-up  Area,19-Mar,8th Phase JP Nagar,2.0,0.0,54.005,1260.0,3.0,4286.111111111111
Super built-up  Area,18-May,8th Phase JP Nagar,1.0,0.0,29.9,1451.0,2.0,2060.6478290833907
Plot  Area,Ready To Move,8th Phase JP Nagar,4.0,2.0,90.0,1584.0,4.0,5681.818181818182
Super built-up  Area,Ready To Move,8th Phase JP Nagar,2.0,1.0,42.47,1065.0,2.0,3987.7934272300467
Super built-up  Area,18-Jun,8th Phase JP Nagar,2.0,2.0,43.5,3300.0,2.0,1318.1818181818182
Super built-up  Area,20-Mar,8th Phase JP Nagar,3.0,2.0,73.31,3515.0,2.0,2085.633001422475
Super built-up  Area,Ready To Move,8th Phase JP Nagar,2.0,2.0,55.0,1100.0,2.0,5000.0
Super built-up  Area,Ready To Move,8th Phase JP Nagar,2.0,1.0,43.91,2250.0,2.0,1951.5555555555557
Super built-up  Area,18-Oct,8th Phase JP Nagar,2.0,2.0,38.0,2062.0,2.0,1842.8709990300679
Super built-up  Area,18-Jun,8th Phase JP Nagar,2.0,2.0,35.0,1734.0,2.0,2018.4544405997692
Super built-up  Area,18-Jul,8th Phase JP Nagar,1.0,1.0,31.0,2080.0,2.0,1490.3846153846155
Plot  Area,Ready To Move,8th Phase JP Nagar,3.0,2.0,130.0,1530.0,3.0,8496.73202614379
Super built-up  Area,Ready To Move,8th Phase JP Nagar,4.0,3.0,92.0,1910.0,3.0,4816.753926701571
Super built-up  Area,Ready To Move,8th Phase JP Nagar,2.0,1.0,40.9,1717.0,2.0,2382.0617355853233
Super built-up  Area,19-Mar,8th Phase JP Nagar,3.0,0.0,72.02,1760.0,2.0,4092.0454545454545
Built-up  Area,Ready To Move,8th Phase JP Nagar,4.0,1.0,140.0,2122.0,3.0,6597.549481621112
Super built-up  Area,18-Jul,8th Phase JP Nagar,1.0,1.0,30.0,1040.0,2.0,2884.6153846153848
Super built-up  Area,18-Jun,8th Phase JP Nagar,2.0,2.0,36.94,1636.0,2.0,2257.9462102689486
Super built-up  Area,Ready To Move,8th Phase JP Nagar,3.0,2.0,110.0,2260.0,2.0,4867.256637168141
Super built-up  Area,Ready To Move,8th Phase JP Nagar,2.0,2.0,65.0,1835.0,2.0,3542.2343324250683
Super built-up  Area,Ready To Move,8th Phase JP Nagar,2.0,2.0,83.0,1100.0,2.0,7545.454545454545
Super built-up  Area,Ready To Move,8th Phase JP Nagar,2.0,1.0,54.71,1150.0,3.0,4757.391304347826
Super built-up  Area,Ready To Move,8th Phase JP Nagar,2.0,1.0,43.55,1052.0,2.0,4139.733840304182
Super built-up  Area,Ready To Move,8th Phase JP Nagar,2.0,3.0,62.0,1299.0,2.0,4772.902232486528
Built-up  Area,Ready To Move,8th Phase JP Nagar,2.0,0.0,44.0,1160.0,2.0,3793.103448275862
Carpet  Area,18-Jul,8th Phase JP Nagar,1.0,1.0,33.0,2200.0,2.0,1500.0
Super built-up  Area,Ready To Move,8th Phase JP Nagar,2.0,1.0,95.0,1839.0,3.0,5165.851005981512
Super built-up  Area,18-Mar,8th Phase JP Nagar,2.0,1.0,59.0,1068.0,2.0,5524.34456928839
Super built-up  Area,Ready To Move,8th Phase JP Nagar,2.0,2.0,51.83,1684.0,2.0,3077.790973871734
Super built-up  Area,18-Apr,8th Phase JP Nagar,3.0,2.0,45.0,1040.0,2.0,4326.923076923077
Super built-up  Area,Ready To Move,8th Phase JP Nagar,2.0,3.0,50.75,900.0,2.0,5638.888888888889
Super built-up  Area,19-Mar,8th Phase JP Nagar,3.0,2.0,80.0,1790.0,4.0,4469.27374301676
Plot  Area,Ready To Move,8th Phase JP Nagar,5.0,2.0,99.0,1639.0,4.0,6040.268456375839
Plot  Area,Ready To Move,8th block Koramangala,1.0,0.0,233.0,1170.0,3.0,19914.529914529914
Super built-up  Area,Ready To Move,8th block Koramangala,2.0,2.0,100.0,1076.0,3.0,9293.68029739777
Plot  Area,Ready To Move,9th Block Jayanagar,1.0,0.0,150.0,900.0,2.0,16666.666666666668
Super built-up  Area,Ready To Move,9th Phase JP Nagar,2.0,1.0,50.0,950.0,2.0,5263.1578947368425
Super built-up  Area,18-Jun,9th Phase JP Nagar,2.0,2.0,37.0,1200.0,2.0,3083.3333333333335
Built-up  Area,Ready To Move,9th Phase JP Nagar,2.0,1.0,45.0,1200.0,2.0,3750.0
Built-up  Area,Ready To Move,9th Phase JP Nagar,2.0,1.0,56.0,1215.0,2.0,4609.0534979423865
Super built-up  Area,Ready To Move,9th Phase JP Nagar,2.0,1.0,42.0,1100.0,2.0,3818.181818181818
Super built-up  Area,Ready To Move,9th Phase JP Nagar,2.0,1.0,43.0,1342.0,2.0,3204.1728763040237
Built-up  Area,Ready To Move,9th Phase JP Nagar,2.0,0.0,37.0,1100.0,2.0,3363.6363636363635
Super built-up  Area,18-Jul,9th Phase JP Nagar,2.0,2.0,39.0,1139.0,2.0,3424.056189640035
Super built-up  Area,Ready To Move,9th Phase JP Nagar,2.0,0.0,27.0,1260.0,2.0,2142.8571428571427
Built-up  Area,Ready To Move,9th Phase JP Nagar,1.0,0.0,20.0,1150.0,2.0,1739.1304347826087
Super built-up  Area,18-Mar,9th Phase JP Nagar,2.0,2.0,71.0,2423.0,1.0,2930.2517540239373
Built-up  Area,Ready To Move,9th Phase JP Nagar,2.0,1.5843757375501535,93.0,1105.0,2.0,8416.28959276018
Super built-up  Area,21-Sep,9th Phase JP Nagar,2.0,1.0,60.0,1245.0,3.0,4819.277108433735
Super built-up  Area,21-Sep,9th Phase JP Nagar,2.0,1.0,80.0,2000.0,3.0,4000.0
Plot  Area,Ready To Move,9th Phase JP Nagar,2.0,0.0,80.0,1450.0,2.0,5517.241379310345
Super built-up  Area,Ready To Move,9th Phase JP Nagar,2.0,1.0,32.0,2000.0,2.0,1600.0
Super built-up  Area,Ready To Move,9th Phase JP Nagar,2.0,2.0,88.0,1770.0,2.0,4971.751412429378
Plot  Area,Ready To Move,9th Phase JP Nagar,3.0,2.0,79.0,1903.0,3.0,4151.339989490279
Plot  Area,Ready To Move,9th Phase JP Nagar,3.0,2.0,85.0,1125.0,3.0,7555.555555555556
Super built-up  Area,21-Sep,9th Phase JP Nagar,3.0,2.0,90.0,1715.0,2.0,5247.813411078717
Super built-up  Area,18-Jun,9th Phase JP Nagar,2.0,2.0,39.89,2600.0,2.0,1534.2307692307693
Super built-up  Area,18-Jun,9th Phase JP Nagar,2.0,2.0,42.85,2700.0,1.0,1587.037037037037
Super built-up  Area,18-Mar,9th Phase JP Nagar,2.0,2.0,35.0,890.0,2.0,3932.5842696629215
Super built-up  Area,Ready To Move,9th Phase JP Nagar,2.0,2.0,69.0,1330.0,3.0,5187.9699248120305
Super built-up  Area,Ready To Move,A Narayanapura,2.0,1.0,35.0,1499.0,2.0,2334.889926617745
Plot  Area,Ready To Move,A Narayanapura,2.0,0.0,85.0,1205.0,3.0,7053.941908713693
Super built-up  Area,Ready To Move,AECS Layout,2.0,3.0,45.0,1664.0,4.0,2704.326923076923
Super built-up  Area,Ready To Move,AECS Layout,2.0,2.0,65.0,1740.0,3.0,3735.632183908046
Super built-up  Area,Ready To Move,AECS Layout,2.0,2.0,64.0,1200.0,1.0,5333.333333333333
Super built-up  Area,Ready To Move,AECS Layout,2.0,1.0,60.0,1050.0,1.0,5714.285714285715
Super built-up  Area,Ready To Move,AECS Layout,2.0,2.0,68.0,1245.0,3.0,5461.847389558233
Super built-up  Area,Ready To Move,AECS Layout,2.0,1.0,55.0,1410.0,3.0,3900.709219858156
Super built-up  Area,Ready To Move,AGS Layout,2.0,2.0,75.0,1614.0,2.0,4646.840148698885
Super built-up  Area,Ready To Move,AGS Layout,2.0,1.0,48.38,1216.0,2.0,3978.6184210526317
Super built-up  Area,Ready To Move,AGS Layout,2.0,1.0,46.0,1500.0,2.0,3066.6666666666665
Built-up  Area,Ready To Move,AMS Layout,2.0,2.0,80.0,1693.0,2.0,4725.339633786179
Super built-up  Area,Ready To Move,Abbaiah Reddy Layout,2.0,3.0,50.0,1512.0,2.0,3306.878306878307
Super built-up  Area,Ready To Move,Abbaiah Reddy Layout,2.0,1.0,38.45,1152.0,3.0,3337.6736111111113
Super built-up  Area,Ready To Move,Abbaiah Reddy Layout,2.0,2.0,41.0,1250.0,3.0,3280.0
Super built-up  Area,Ready To Move,Abbaiah Reddy Layout,2.0,2.0,38.5,1200.0,2.0,3208.3333333333335
Super built-up  Area,Ready To Move,Abbigere,2.0,1.0,40.39,2264.0,2.0,1784.0106007067138
Super built-up  Area,21-Dec,Abbigere,2.0,1.0,35.0,918.0,1.0,3812.636165577342
Super built-up  Area,Ready To Move,Abbigere,2.0,1.0,32.54,1357.0,3.0,2397.936624907885
Super built-up  Area,Ready To Move,Abbigere,2.0,1.0,39.59,1418.0,2.0,2791.960507757405
Super built-up  Area,17-Nov,Abbigere,2.0,1.0,45.0,1470.0,2.0,3061.2244897959185
Super built-up  Area,18-Jun,Abbigere,2.0,1.0,35.0,1400.0,1.0,2500.0
Super built-up  Area,Ready To Move,Abbigere,2.0,1.0,40.39,1600.0,3.0,2524.375
Super built-up  Area,Ready To Move,Abbigere,2.0,1.0,46.33,3400.0,2.0,1362.6470588235295
Super built-up  Area,Ready To Move,Abbigere,2.0,1.0,38.92,1650.0,3.0,2358.787878787879
Super built-up  Area,Ready To Move,Abbigere,2.0,1.0,41.0,1535.0,4.0,2671.0097719869705
Super built-up  Area,Ready To Move,Abbigere,2.0,1.0,40.8,1720.0,2.0,2372.0930232558135
Plot  Area,Ready To Move,Adityanagar,1.0,1.0,41.0,3600.0,3.0,1138.888888888889
Super built-up  Area,Ready To Move,Akshaya Nagar,3.0,1.0,200.0,2650.0,4.0,7547.169811320755
Super built-up  Area,Ready To Move,Akshaya Nagar,2.0,3.0,57.0,950.0,2.0,6000.0
Super built-up  Area,Ready To Move,Akshaya Nagar,2.0,1.0,54.0,1200.0,2.0,4500.0
Super built-up  Area,Ready To Move,Akshaya Nagar,2.0,2.0,75.0,1400.0,2.0,5357.142857142857
Super built-up  Area,18-Mar,Akshaya Nagar,2.0,2.0,85.0,2000.0,2.0,4250.0
Super built-up  Area,Ready To Move,Akshaya Nagar,2.0,2.0,65.0,1100.0,2.0,5909.090909090909
Super built-up  Area,Ready To Move,Akshaya Nagar,3.0,1.0,134.0,1754.0,2.0,7639.680729760547
Super built-up  Area,Ready To Move,Akshaya Nagar,2.0,2.0,80.0,1100.0,1.0,7272.727272727273
Built-up  Area,Ready To Move,Akshaya Nagar,3.0,2.0,85.5,1075.0,2.0,7953.488372093023
Built-up  Area,Ready To Move,Akshaya Nagar,2.0,1.0,60.0,900.0,2.0,6666.666666666667
Built-up  Area,Ready To Move,Akshaya Nagar,3.0,1.5843757375501535,95.0,1865.0,4.0,5093.833780160858
Super built-up  Area,Ready To Move,Akshaya Nagar,2.0,2.0,75.0,1650.0,2.0,4545.454545454545
Super built-up  Area,Ready To Move,Akshaya Nagar,2.0,1.0,60.0,1678.0,2.0,3575.6853396901074
Super built-up  Area,Ready To Move,Akshaya Nagar,2.0,1.0,50.0,1100.0,2.0,4545.454545454545
Super built-up  Area,Ready To Move,Akshaya Nagar,3.0,3.0,98.0,1200.0,3.0,8166.666666666667
Super built-up  Area,Ready To Move,Akshaya Nagar,2.0,2.0,60.0,1230.0,2.0,4878.048780487805
Super built-up  Area,Ready To Move,Akshaya Nagar,2.0,2.0,68.8,1150.0,3.0,5982.608695652174
